4.7819,2.9618,1.64,4.823,-0.069532,0,4.9233,2.9942,1.6055,4.8251,-0.21088,0,2.8871,0.66176,-0.70441,0.04265,-2.8871,0,2.7535,0.63113,-0.67181,0.040676,-2.7535,0,0.05
4.9233,2.9942,1.6055,4.8251,-0.21088,0,5.0573,3.0249,1.5728,4.827,-0.34489,0,2.7535,0.63113,-0.67181,0.040676,-2.7535,0,2.5946,0.59469,-0.63302,0.038328,-2.5946,0,0.05
5.0573,3.0249,1.5728,4.827,-0.34489,0,5.1827,3.0537,1.5422,4.8289,-0.47034,0,2.5946,0.59469,-0.63302,0.038328,-2.5946,0,2.4128,0.55303,-0.58867,0.035642,-2.4128,0,0.05
5.1827,3.0537,1.5422,4.8289,-0.47034,0,5.2986,3.0802,1.514,4.8306,-0.58616,0,2.4128,0.55303,-0.58867,0.035642,-2.4128,0,2.2113,0.50684,-0.53951,0.032666,-2.2113,0,0.05
5.2986,3.0802,1.514,4.8306,-0.58616,0,5.4039,3.1043,1.4883,4.8322,-0.69146,0,2.2113,0.50684,-0.53951,0.032666,-2.2113,0,1.9936,0.45694,-0.48639,0.02945,-1.9936,0,0.05
5.4039,3.1043,1.4883,4.8322,-0.69146,0,5.4979,3.1259,1.4653,4.8336,-0.78552,0,1.9936,0.45694,-0.48639,0.02945,-1.9936,0,1.7637,0.40425,-0.4303,0.026054,-1.7637,0,0.05
5.4979,3.1259,1.4653,4.8336,-0.78552,0,5.5802,3.1448,1.4452,4.8348,-0.86783,0,1.7637,0.40425,-0.4303,0.026054,-1.7637,0,1.5261,0.34978,-0.37233,0.022543,-1.5261,0,0.05
5.5802,3.1448,1.4452,4.8348,-0.86783,0,5.6505,3.1609,1.4281,4.8358,-0.93813,0,1.5261,0.34978,-0.37233,0.022543,-1.5261,0,1.2856,0.29468,-0.31367,0.018992,-1.2856,0,0.05
5.6505,3.1609,1.4281,4.8358,-0.93813,0,5.7088,3.1742,1.4139,4.8367,-0.9964,0,1.2856,0.29468,-0.31367,0.018992,-1.2856,0,1.0479,0.24018,-0.25566,0.015479,-1.0479,0,0.05
5.7088,3.1742,1.4139,4.8367,-0.9964,0,5.7553,3.1849,1.4025,4.8374,-1.0429,0,1.0479,0.24018,-0.25566,0.015479,-1.0479,0,0.81859,0.18763,-0.19972,0.012092,-0.81859,0,0.05
5.7553,3.1849,1.4025,4.8374,-1.0429,0,5.7906,3.193,1.3939,4.8379,-1.0783,0,0.81859,0.18763,-0.19972,0.012092,-0.81859,0,0.60418,0.13848,-0.14741,0.0089252,-0.60418,0,0.05
5.7906,3.193,1.3939,4.8379,-1.0783,0,5.8157,3.1988,1.3878,4.8382,-1.1033,0,0.60418,0.13848,-0.14741,0.0089252,-0.60418,0,0.41147,0.094311,-0.10039,0.0060783,-0.41147,0,0.05
5.8157,3.1988,1.3878,4.8382,-1.1033,0,5.8318,3.2024,1.3839,4.8385,-1.1194,0,0.41147,0.094311,-0.10039,0.0060783,-0.41147,0,0.24774,0.056783,-0.060442,0.0036596,-0.24774,0,0.05
5.8318,3.2024,1.3839,4.8385,-1.1194,0,5.8405,3.2044,1.3817,4.8386,-1.1281,0,0.24774,0.056783,-0.060442,0.0036596,-0.24774,0,0.12075,0.027678,-0.029462,0.0017838,-0.12075,0,0.05
5.8405,3.2044,1.3817,4.8386,-1.1281,0,5.8439,3.2052,1.3809,4.8387,-1.1315,0,0.12075,0.027678,-0.029462,0.0017838,-0.12075,0,0.038762,0.0088845,-0.009457,0.0005726,-0.038762,0,0.05
5.8439,3.2052,1.3809,4.8387,-1.1315,0,5.8444,3.2053,1.3808,4.8387,-1.132,0,0.038762,0.0088845,-0.009457,0.0005726,-0.038762,0,0.010071,0.0023083,-0.0024571,0.00014877,-0.010071,0,0.05
